	OG	TSG
AL589739.1	0.18166356860386712	0.818336431396133
FCGR2C	0.2217159998327689	0.7782840001672312
TRIM67	0.2217159998327689	0.7782840001672312
NUP35	0.2217159998327689	0.7782840001672312
GALNT3	0.2217159998327689	0.7782840001672312
ORC2	0.2217159998327689	0.7782840001672312
CYB5RL	0.2217159998327689	0.7782840001672312
PSRC1	0.2217159998327689	0.7782840001672312
NPHP4	0.2217159998327689	0.7782840001672312
MAD2L2	0.2217159998327689	0.7782840001672312
MGST3	0.2217159998327689	0.7782840001672312
LIMS1	0.2217159998327689	0.7782840001672312
RSPO1	0.2217159998327689	0.7782840001672312
AC138393.1	0.2290689410092395	0.7709310589907604
HOXD8	0.25782711094388	0.74217288905612
IGFBP2	0.25782711094388	0.74217288905612
METTL8	0.25782711094388	0.74217288905612
STK39	0.25782711094388	0.74217288905612
RETSAT	0.25782711094388	0.74217288905612
MPV17	0.25782711094388	0.74217288905612
PRAMEF26	0.25782711094388	0.74217288905612
OR10J4	0.25782711094388	0.74217288905612
HOXD9	0.25782711094388	0.74217288905612
SCLY	0.25782711094388	0.74217288905612
IFI44	0.25782711094388	0.74217288905612
TMEM37	0.25782711094388	0.74217288905612
LCE4A	0.25782711094388	0.74217288905612
RQCD1	0.25782711094388	0.74217288905612
ZNF687	0.25782711094388	0.74217288905612
ZNF2	0.25782711094388	0.74217288905612
GDF7	0.25782711094388	0.74217288905612
CLCA4	0.25782711094388	0.74217288905612
ALLC	0.25782711094388	0.74217288905612
ANKRD30BL	0.25782711094388	0.74217288905612
EFHD2	0.25782711094388	0.74217288905612
NRXN1	0.25782711094388	0.74217288905612
POU2F1	0.25782711094388	0.74217288905612
C2orf82	0.25782711094388	0.74217288905612
TMEM247	0.25782711094388	0.74217288905612
MZT2A	0.25782711094388	0.74217288905612
EMX1	0.25782711094388	0.74217288905612
ARHGEF19	0.25782711094388	0.74217288905612
GPSM2	0.25782711094388	0.74217288905612
AC019206.1	0.25782711094388	0.74217288905612
AC008271.1	0.25782711094388	0.74217288905612
PRCC	0.25782711094388	0.74217288905612
OR2T4	0.2651800521203506	0.7348199478796493
FMO6P	0.2651800521203506	0.7348199478796493
IGKV3D-11	0.2651800521203506	0.7348199478796493
OR2T7	0.2651800521203506	0.7348199478796493
AC096644.1	0.2651800521203506	0.7348199478796493
RMDN2	0.2651800521203506	0.7348199478796493
AC017104.2	0.2651800521203506	0.7348199478796493
KLHL23	0.2651800521203506	0.7348199478796493
CYP4B1	0.2651800521203506	0.7348199478796493
AC062017.1	0.2651800521203506	0.7348199478796493
RP11-156E8.1	0.2651800521203506	0.7348199478796493
